Time Published,Ticker,Overall Sentiment Score,Ticker Sentiment Score
20240401T135842,HPQ,0.283248,0.045235
20240401T062447,GLW,0.245449,0.158287
20240401T160009,RJF,0.309313,0.353751
20240401T123003,WDC,0.259043,0.27013
20240403T220647,TTWO,0.221757,0.386085
20240418T140151,WY,0.136454,-0.031194
20240401T062443,STT,0.278393,0.28211
20240401T140000,IRM,0.258566,0.065139
20240411T125800,DTE,0.223393,0.424009
20240408T153000,ETR,0.30086,0.580953
20240402T122430,GPC,0.262526,0.376887
20240402T134013,ALGN,0.290593,0.483661
20240401T125145,GRMN,0.113669,0.138643
20240422T154900,BALL,0.136277,0.0
20240403T124200,HUBB,0.155222,0.183861
20240401T113600,AXON,0.168314,0.21857
20240401T125000,IFF,0.233784,0.049238
20240411T083241,PTC,0.29845,0.4788
20240401T102006,DECK,0.327317,0.121986
20240401T100000,CTRA,0.329153,0.162605
20240408T105400,SBAC,0.311898,0.065905
20240402T130000,NTAP,0.406435,0.300624
20240403T123200,ES,0.386679,0.241001
20240401T180717,STLD,0.149588,-0.141478
20240401T064500,BAX,0.048464,0.224052
20240409T133506,STE,0.18711,0.24161
20240401T152217,MOH,0.062343,0.119527
20240411T140000,PPL,0.324173,0.377556
20240403T131200,FE,0.255266,0.049411
20240405T143000,ILMN,0.237875,0.075014
20240402T125845,TYL,0.305846,0.112533
20240401T104500,BRO,0.06346,0.119404
20240403T120400,AEE,0.281006,0.04654
20240401T170000,OMC,0.189059,-0.049014
20240402T125000,DRI,0.251671,0.0
20240409T060000,WAT,0.192895,0.055017
20240401T125000,J,0.233784,0.049238
20240411T204500,RF,0.157082,0.024999
20240404T132600,CNP,0.345216,0.234573
20240401T162400,CLX,0.34902,0.058785
20240401T123000,ARE,0.349357,0.220682
20240402T214519,HOLX,0.117609,0.087897
20240411T141500,AVY,0.23497,0.29494
20240401T035100,VTR,0.002322,0.0
20240408T160010,TDY,0.29682,0.110442
20240412T132200,COO,0.313386,0.456066
20240412T092900,TER,0.32046,0.2151
20240405T134012,CINF,0.31225,-0.029058
20240402T110000,DPZ,0.081161,0.01453
20240401T070000,ATO,0.378164,0.16726
20240401T032703,CMS,0.298751,0.168515
20240401T062443,PFG,0.401836,0.303962
20240401T113000,TSN,0.44993,0.644435
20240401T062442,NTRS,0.345316,0.290553
20240402T121000,TXT,0.229202,0.021889
20240401T164200,LH,0.275054,0.180271
20240402T100000,LVS,0.274175,0.118223
20240408T172322,EQT,0.017037,0.123304
20240401T135800,SWKS,0.25522,0.01161
20240403T160538,STX,0.163317,0.152766
20240402T065400,IEX,0.398521,0.185615
20240403T132600,EXPD,0.092464,0.181714
20240401T100000,NRG,0.329153,0.162605
20240401T070000,MRO,0.27052,0.0627
20240401T071000,LUV,0.049187,-0.064818
20240411T201349,FDS,0.189403,0.271213
20240407T055842,ESS,0.296145,0.212326
20240404T135700,EG,0.233717,0.212172
20240402T135011,MAS,0.329218,0.0
20240402T220017,VRSN,0.126383,0.120899
20240409T131524,PKG,0.262164,0.076905
20240401T184700,AKAM,0.162759,-0.034828
20240410T070000,ZBRA,0.225264,0.118329
20240408T133839,K,0.120182,-0.058525
20240401T160000,CCL,0.141202,0.009608
20240401T130017,JBL,0.204452,0.083738
20240406T071300,MAA,0.266302,0.250656
20240401T200500,TRMB,0.193558,0.24892
20240402T144500,DGX,0.187806,0.119894
20240403T120400,BG,0.26917,0.115258
20240401T080000,CAG,0.004862,0.053996
20240401T102320,BBY,0.24803,0.162434
20240411T200500,POOL,0.103634,0.168341
20240404T183027,SNA,0.292209,0.151778
20240403T150047,NDSN,0.262256,0.29381
20240401T105900,VTRS,0.083245,0.0
20240404T100800,L,0.170668,0.099469
20240401T200800,SWK,0.073667,0.131375
20240401T062446,KEY,0.30195,0.063601
20240403T130015,ALB,0.246036,0.184167
20240401T140000,HST,0.258566,0.065139
20240404T160009,PNR,0.298551,0.375999
20240401T051100,WBA,0.25406,0.03971
20240401T133005,ROL,0.282005,0.086482
20240401T170400,RVTY,0.244866,-0.120221
20240404T221723,LNT,0.109088,0.107885
20240405T175240,KIM,0.319145,0.411853
20240402T153200,JKHY,0.22239,0.387935
20240424T114503,EVRG,0.159453,0.153848
20240402T143034,IP,0.179677,0.0
20240412T133600,LKQ,0.200228,0.245547
20240403T010000,CRL,-0.024459,-0.079446
20240402T201500,GEN,0.389219,0.169516
20240403T110000,TAP,0.371268,0.17273
20240424T132700,UDR,0.165559,0.093421
20240401T101200,EMN,0.186399,0.105121
20240401T124548,MGM,0.306625,0.262146
20240401T140100,NI,0.344385,0.15603
20240401T062446,JNPR,0.30195,0.063601
