Time Published,Ticker,Overall Sentiment Score,Ticker Sentiment Score
20240327T150000,INCY,0.125281,-0.191252
20240328T121500,REG,0.292213,0.485387
20240329T170200,HSIC,0.25353,0.124575
20240328T115500,WYNN,0.138667,0.187834
20240328T134013,TPR,0.231715,0.125677
20240329T154009,AIZ,0.485647,0.613797
20240329T130000,CPB,0.407306,0.0
20240320T182700,MTCH,0.081717,0.081729
20240326T145200,BXP,0.311043,0.169129
20240328T153047,PNW,0.150162,-0.003706
20240330T090045,HAS,0.296369,0.254726
20240328T221520,BWA,0.22152,0.272141
20240329T062433,MKTX,0.181178,-0.141153
20240213T154800,FRT,0.155921,0.109867
20240311T184341,FMC,0.086522,-0.034074
20240328T123000,RHI,0.446844,0.686487
20240328T154300,DVA,0.244404,-0.118238
20240328T113000,BEN,0.129892,0.10439
20240330T065442,CMA,0.133211,0.224874
20240401T053000,IVZ,0.219839,-0.05916
20240328T161000,RL,0.347208,0.08663
20240331T092000,GL,0.224734,0.160969
20240313T133000,MHK,0.089335,-0.040717
20240329T161500,BIO,0.121118,0.0
20240122T062358,AAPL,0.154128,0.194115
20240122T053100,NVDA,0.267087,0.014645
20240121T185200,AMZN,0.233965,0.361582
20240122T064217,GOOG,0.163116,0.112179
20240121T160200,LLY,0.267579,0.397667
20240122T064415,XOM,0.197114,-0.056473
20240121T160200,UNH,0.267579,0.397667
20240122T063000,PG,0.453991,0.207973
20240122T061500,JNJ,0.262494,0.199415
20240121T140501,HD,0.135461,-0.066303
20240121T183843,COST,0.115153,0.102131
20240121T174700,CVX,0.268567,0.313662
20240122T064153,BAC,0.212926,0.162376
20240121T225205,WMT,0.06449,-0.075488
20240121T183500,AMD,0.304213,0.152681
20240122T050100,NFLX,0.024192,0.019873
20240121T193100,PEP,0.378508,0.410936
20240121T193100,KO,0.378508,0.410936
20240119T220100,TMO,-0.042033,0.031816
20240121T210101,ADBE,0.314051,0.051303
20240121T150100,WFC,-0.007202,-0.019
20240119T135006,LIN,0.394227,0.195095
20240120T095100,DIS,0.206295,0.115913
20240118T075900,MCD,-0.178793,-0.088323
20240120T030000,CSCO,0.272857,0.29144
20240120T205400,ACN,0.126171,0.106613
20240121T121900,ORCL,0.045928,0.086004
20240122T070000,ABT,0.374337,0.207185
20240122T054000,QCOM,0.288439,0.094303
20240120T130000,INTU,0.253475,0.287903
20240122T000105,GE,0.187824,0.040151
20240121T123500,CAT,0.319682,0.214095
20240121T101700,AMAT,0.159237,0.004724
20240121T143400,VZ,0.247737,-0.04881
20240120T011800,DHR,0.157188,0.0
20240122T043016,TXN,0.024275,0.147986
20240119T180113,COP,0.160036,0.280755
20240121T150100,IBM,-0.007202,-0.019
20240121T150100,UNP,-0.007202,-0.019
20240122T043500,AMGN,0.164961,0.083583
20240122T043500,PFE,0.164961,0.083583
20240122T064153,GS,0.212926,0.162376
20240120T151348,NEE,0.050355,0.0
20240121T230300,INTC,0.19918,0.181259
20240122T035400,AXP,0.356036,0.156889
20240121T150100,RTX,-0.007202,-0.019
20240122T051615,SPGI,0.390268,0.473927
20240120T151348,ISRG,0.050355,0.0
20240120T115500,ETN,0.137585,0.114329
20240119T140000,HON,0.479196,0.227387
20240119T190058,MU,0.160819,0.386944
20240120T151348,ELV,0.050355,0.0
20240121T191400,BKNG,0.090564,-0.02104
20240120T151348,PGR,0.050355,0.0
20240121T191400,LRCX,0.090564,-0.02104
20240121T121100,T,0.293849,0.148443
20240122T044106,C,0.057885,0.231396
20240122T070000,MS,0.373073,0.084437
20240121T163841,NKE,-0.173644,-0.142567
20240119T150100,SYK,0.271564,0.0
20240122T015455,SCHW,0.399408,0.147512
20240119T193021,TJX,0.160819,0.386944
20240120T010000,BSX,0.340135,0.079378
20240118T230020,UPS,0.150104,0.270209
20240122T050025,BLK,0.101314,-0.040815
20240122T061500,MDT,0.124351,-0.085029
20240118T124137,CI,0.172184,-0.089663
20240119T180020,DE,0.160819,0.387251
20240121T143700,VRTX,0.272921,0.080991
20240119T120600,ADI,0.069692,0.142877
20240121T154400,SBUX,0.327898,0.127293
20240118T124021,ADP,0.104081,0.005376
20240119T175200,CB,0.351859,0.497095
20240122T044106,LMT,0.057885,0.231396
20240121T114700,PLD,0.340518,0.428711
20240121T191400,KLAC,0.090564,-0.02104
20240122T052412,BA,0.089608,0.196683
20240119T152800,MDLZ,0.24631,0.105243
20240120T132400,FI,0.251346,0.264586
20240122T043500,REGN,0.164961,0.083583
20240122T043500,BMY,0.164961,0.083583
20240121T210101,CVS,0.314051,0.051303
20240119T183041,SNPS,0.160819,0.387251
20240118T205452,GILD,0.129835,0.281674
20240117T231518,AMT,0.140614,0.220441
20240118T212900,SO,0.276529,0.127465
20240118T085800,EOG,0.183409,0.113221
20240122T051615,WM,0.390268,0.473927
20240119T180600,CDNS,0.154811,-0.412162
20240121T172300,MO,0.201347,0.091928
20240121T150100,TGT,-0.007202,-0.019
20240121T175356,CME,-0.122035,-0.178673
20240119T230019,DUK,0.211303,0.372759
20240121T123000,CL,-0.036215,0.0
20240120T151348,FCX,0.050355,0.0
20240120T151348,SHW,0.050355,0.0
20240120T151348,APH,0.050355,0.0
20240119T154500,MCK,0.128866,0.133321
20240122T031500,PH,0.243229,0.081916
20240119T152516,SLB,0.35028,0.188728
20240117T073000,TT,0.473585,0.249493
20240120T001500,EQIX,0.229716,0.0
20240122T044106,NOC,0.057885,0.231396
20240122T041500,ITW,0.284921,0.124941
20240119T171500,BDX,0.425577,0.0
20240121T150100,CSX,-0.007202,-0.019
20240121T150100,GD,-0.007202,-0.019
20240119T225017,PXD,0.15962,0.266131
20240119T104500,EMR,0.319861,0.0
20240119T174300,PNC,-0.16855,-0.069894
20240119T141503,ORLY,0.274155,0.476925
20240122T015455,FDX,0.399408,0.147512
20240119T224521,MAR,0.243741,0.403195
20240122T055831,MCO,0.092409,-0.071389
20240121T191400,PCAR,0.090564,-0.02104
20240120T140200,CTAS,0.277608,0.328377
20240117T211500,MSI,0.191212,0.019167
20240121T015446,AON,0.019565,-0.013968
20240120T151348,VLO,0.050355,0.0
20240116T185340,ECL,0.111759,-0.063924
20240118T080000,ROP,0.378341,0.167382
20240121T150100,COF,-0.007202,-0.019
20240121T150100,NSC,-0.007202,-0.019
20240119T103600,APD,0.274754,0.168751
20240119T164009,EW,0.475692,0.570065
20240121T061443,AIG,0.285421,-0.008845
20240117T214000,WELL,0.302578,0.186571
20240112T195422,AZO,-0.102503,-0.143445
20240121T163956,TFC,0.140026,0.107429
20240122T060000,MMM,0.461529,0.20634
20240118T153437,MCHP,0.160564,0.090746
20240121T123500,F,0.319682,0.214095
20240119T230019,NEM,0.165309,0.250214
20240119T211428,TRV,0.327569,0.311319
20240119T230018,CPRT,0.165985,0.248416
20240104T112006,WMB,0.281995,0.071251
20240119T123900,OKE,0.036083,0.184133
20240121T191400,URI,0.090564,-0.02104
20240120T113000,ADSK,0.298507,0.220555
20240118T231518,SPG,0.192945,0.313038
20240120T151348,KMB,0.050355,0.0
20240119T162300,ROST,0.204603,0.24346
20240121T174700,HES,0.268567,0.313662
20240117T130400,SRE,0.315258,0.218885
20240119T210200,AEP,0.246204,0.427079
20240121T122000,OXY,0.084854,0.265966
20240121T173300,O,0.328304,0.607055
20240119T135200,ALL,0.061392,0.15349
20240119T170005,AFL,0.317935,0.375368
